dynamic,"(0.0023481084572607946, 2994)"
dynamic,"(0.0027225274759367776, 2994)"
dynamic,"(0.0023478373392924173, 2997)"
dynamic,"(0.006074637019869447, 2889)"
dynamic,"(0.0027325317777436354, 2987)"
static,"(0.0026891144036443946, 2970)"
static,"(0.0023983935594877885, 2988)"
static,"(0.002432127992710274, 2994)"
static,"(0.00230940980647317, 2999)"
static,"(0.003036766645898781, 2988)"
no_monitoring,"(0.0019221774443494227, 2951)"
no_monitoring,"(0.0023550984829694404, 2963)"
no_monitoring,"(0.003200839498768682, 2875)"
no_monitoring,"(0.002710579923947215, 2908)"
no_monitoring,"(0.0018912387626459982, 2963)"
